Samples,204252_at,211803_at,211804_s_at
GSM901353,6.755614535,3.230190942,5.680170659
GSM901352,6.94614063,3.396988316,6.152490094
GSM901351,7.149039185,3.548701219,6.162198983
GSM901350,7.24321175,3.331310782,6.478892192
GSM901349,7.418324035,3.364994496,6.548092037
GSM901348,6.984818367,3.446545231,6.453998815
GSM901347,7.813257022,3.241377009,6.902313653
GSM901346,7.312345214,3.301773172,6.152490094
GSM901345,6.735785812,3.424911455,5.515602712
GSM901344,6.583674211,3.528957186,6.102305332
GSM901343,7.135771192,3.940167115,6.066134518
GSM901342,7.203677534,3.461133358,6.115312765
GSM901341,7.581260673,3.467966821,6.536448662
GSM901340,7.359181141,3.375589522,6.099381585
GSM901339,6.250599946,3.967612634,5.989764523
GSM901338,6.367026076,3.692237059,5.84627457
GSM901337,6.820959173,3.740856133,5.983935947
GSM901336,6.95071478,3.273096982,6.024622554
GSM901335,6.87824611,3.273096982,5.850904063
GSM901334,7.265110318,3.651817398,6.235482827
GSM901333,6.601984747,3.526449913,5.547291134
GSM901332,6.747182465,3.397496365,6.121369529
GSM901331,6.539462054,3.666266074,6.152490094
GSM901330,7.367059185,3.424911455,6.444551993
GSM901329,7.161063595,3.5536447,6.438426697
GSM901328,6.603792492,3.739394203,6.169015049
GSM901327,6.769741678,3.338955586,5.933149389
GSM901326,6.8689577,3.126786705,6.270346831
GSM901325,6.92334834,3.279749231,6.189802202
GSM901324,7.42093239,3.415373361,5.992259754
GSM901323,7.497605331,3.273103259,6.152490094
GSM901322,7.442307796,3.348258409,6.514513976
GSM901321,7.559394824,3.393779236,6.260836015
GSM901320,6.296958251,3.659668502,5.622884699
GSM901319,7.672521218,3.517326525,6.894371425
